number	createdAt	title	headRef	url	priority_note
1249	21/07/2026 20:05:11	feat(starfort): Star Fortress Phase 1 MVP [flag WFBE_C_STARFORT_ENABLE default 0]	feat/starfort-mvp	https://github.com/rayswaynl/a2waspwarfare/pull/1249	
1260	22/07/2026 16:19:55	fix(teambar): ship slot-1 server heal (stranded on deploy/wave0722e) + assert-leader-first guard + skin-swap server ping	fix/teambar-slot1-ship-20260722	https://github.com/rayswaynl/a2waspwarfare/pull/1260	
1286	22/07/2026 18:06:17	fix(aicom): exclude corpses and HCs from recovery vetoes	codex/main-07221740-2-realplayersnear-vetoes	https://github.com/rayswaynl/a2waspwarfare/pull/1286	
1293	22/07/2026 18:39:26	fix(telemetry): exclude HCs from player counts	codex/07221740-1-playercount-telemetry-hc	https://github.com/rayswaynl/a2waspwarfare/pull/1293	
1342	24/07/2026 23:03:13	fix(aicom): reject stale HC town delegation reports	codex/aicom-hc-locality-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1342	
1343	24/07/2026 23:05:37	fix(alife): reject stale delegated town AI acknowledgments	codex/07241020-1-garrison-lifecycle-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1343	
1344	24/07/2026 23:30:17	fix(jip): re-register resolved team into wfbe_teams on connect + nil filler-classname guard on disconnect	kimi/07241020-1-jip-session-lifecycle	https://github.com/rayswaynl/a2waspwarfare/pull/1344	
1395	25/07/2026 10:21:49	harden(sec): sidepatrol-convoy-stop requires a matching active-patrol record	claude/u2-harden-convoy-pay-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1395	
1399	25/07/2026 10:32:21	fix(security): bind ATTACK_WAVE_DETAILS activation to requester's own side	claude/u2-harden-attackwave-details-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1399	
1404	25/07/2026 10:41:19	harden(economy): server-owned supply-mission payout, watcher cap, UID derivation	claude/u2-harden-supplymission-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1404	
1436	25/07/2026 12:20:17	fix: make side-patrol registry and convoy payout server-authoritative	codex/sidepatrol-registry-authority-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1436	
1464	25/07/2026 20:21:17	feat(aicom): late-game teleport of base-idle AI teams to friendly frontline towns [flags, default 0]	fable/aicom-lategame-teleport-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1464	
1543	28/07/2026 04:40:06	feat(fob): forward operating base v1 - engineer/repair-truck built FOB [flag WFBE_C_STRUCTURES_FOB default 1]	codex/fob-v1-engineer-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1543	
1546	28/07/2026 05:18:16	fix(gc): guard TrashObject remote-delete dispatch against null objects	claude/trash-nullobj-sendtoclient-drop-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1546	
1596	29/07/2026 06:03:35	fix(hc): seat headless clients on CIV natively - swap HC slots to the lowest playable ids	fable/hc-civ-magnet-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1596	PRIORITY cold-boot HC WEST-preseat race
1597	29/07/2026 08:43:43	fix(townscan): nil-guard wfbe_active*/wfbe_active_air reads killing _dynRange (live RPT spam x169k)	fable/townscan-dynrange-nilguard-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1597	
1600	29/07/2026 21:34:12	fix(gc): re-null-check TrashObject after sleep / proximity hold	fix/trash-nullobj-post-sleep-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1600	
1604	29/07/2026 22:36:30	fix(aicom): disconnect-while-dead must not delete AI leadership successor	grok/alife-merge-leadership-disconnect-fix-on-master-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1604	
1605	29/07/2026 22:44:56	fix(ui): TeamV2 Unit Designer tabs + global ctrlShow (A2 createDialog)	fix/teamv2-unit-designer-ctrlshow	https://github.com/rayswaynl/a2waspwarfare/pull/1605	
1608	29/07/2026 23:21:37	fix(alife): knowsAbout crew expand + B5 reveal target + Man-only capture reveal	fix/alife-knowsabout-reveal-crew-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1608	
1609	29/07/2026 23:31:35	fix(towns): capture ownership ΓÇö bulk camp SV heal + no bulk bounty	fix/town-capture-ownership-bulk-camp-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1609	
1611	30/07/2026 00:05:44	fix(alife): continuous SML retreat under fire + wheeled armor overwatch	fix/alife-suppression-stance-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1611	
1623	30/07/2026 03:16:25	fix(sqf): bound water waypoint redraws + uniform random index draws	fix/sqf-randomness-nondeterminism-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1623	
1630	30/07/2026 04:33:46	fix(mission-core): PV handler bounds + enqueue/dequeue commander bind	fix/mission-core-pv-bounds-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1630	
1659	30/07/2026 10:27:44	fix(sqf): coordinate-space - air 2D proximity + RadiusHold 2D ground-snap	fix/sqf-coord-space-r25-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1659	
1662	30/07/2026 11:20:33	fix(aicom): topology - naval HVT is not ground-front-adjacent (r26)	fix/aicom-town-adjacency-topology-r26-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1662	
1669	30/07/2026 14:27:26	fix(hc-lobby-lock): anchor the lobby-lock deadline on mission-live	fable/hc-lobby-lock-mission-live-anchor-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1669	recut-list
1676	30/07/2026 15:18:42	fix(mission-core): construction abort live-count rollback + AI live-inc + BuildingKilled bounds (r31)	bughunt/construction-livecount-r31-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1676	
1679	30/07/2026 15:49:45	fix(sqf): getVariable fallback + setVariable public/JIP hygiene (r30)	fix/getvar-setvar-public-jip-r30-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1679	
1680	30/07/2026 16:02:10	fix(sqf): createVehicle/crew init fail-clean + defense UnitsCreated hygiene (r32)	fix/createvehicle-crew-init-locality-grok1606-r32-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1680	
1682	30/07/2026 16:22:54	fix(sqf): ammo paradrop + UAV create/crew fail-clean (r34)	fix/paraammo-uav-failclean-grok1606-r34-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1682	
1686	30/07/2026 17:00:57	fix(sqf): GDIR QRF create/crew + patrol convoy + airdef chute + HQ wreck fail-clean (r37)	fix/gdir-qrf-patrol-hqwreck-failclean-grok1606-r37-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1686	
1687	30/07/2026 17:18:48	fix(sqf): paratroop/paravehi create/crew + def wall + USV fail-clean (r38)	fix/paratroop-paravehi-defwall-usv-failclean-grok1606-r38-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1687	
1692	30/07/2026 17:56:14	fix(sqf): camp repair + naval HVT SCUD/camps/CAP L39 + HandleDefense fail-clean (r40)	fix/naval-camp-repair-cap-handledefense-failclean-grok1606-r40-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1692	
1699	30/07/2026 18:45:00	fix(sqf): CoIn border/preview/helper + headbug Lada1 + DropRPG holder fail-clean (r44)	fix/coin-headbug-rpgdrop-failclean-grok1606-r44-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1699	
1700	30/07/2026 18:47:18	fix(sqf): CoIn border/preview/helper + headbug Lada1 + DropRPG WeaponHolder fail-clean (r44)	fix/coin-headbug-rpgdrop-failclean-r44-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1700	
1718	30/07/2026 21:19:33	fix(alife): weaponholder loot persistence ΓÇö locality + min-age + prox hold (r37)	fix/alife-dropped-gear-weaponholder-loot-persistence-r37-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1718	
1723	30/07/2026 22:55:01	fix(sqf): droppeditems/ruins cleaners + HQ kill + sortie + def-ops fail-clean (r55)	fix/droppeditems-ruins-hqkill-sortie-defops-failclean-grok1606-r55-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1723	
1726	30/07/2026 23:28:09	fix(sqf): townAI cleanup + AirResp + groupsGC + Produce + Trash fail-clean (r56)	fix/townai-airresp-groupsgc-produce-trash-failclean-grok1606-r56-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1726	
1750	31/07/2026 04:40:59	fix(alife): corpse/wreck reap integrity ΓÇö dead-crew purge + airlift requeue (r66)	fix/alife-corpse-wreck-reap-r66-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1750	
1757	31/07/2026 05:59:53	fix(aicom): paradrop tasking ΓÇö AI CD release + objective rebind (r70)	fix/aicom-paradrop-tasking-objective-r70-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1757	
1758	31/07/2026 06:02:27	fix(mission-core): teamswap join fail-closed + RequestJoin null/target (r70)	fix/mission-teamswap-join-failclosed-r70-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1758	
1767	31/07/2026 07:06:53	fix(sqf): loadout equip null integrity ΓÇö EquipUnit/Backpack/Vehicle + EASA + custom gear (r72b)	fix/sqf-loadout-equip-null-r72b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1767	recut-list
1768	31/07/2026 07:07:15	fix(mission-core): JIP re-push WFBE_HQ_REPAIR_AVG_SEC for correct MHQ repair-cost scaling on late joiners (r71)	claude/jip-repush-hq-repair-avg-r71	https://github.com/rayswaynl/a2waspwarfare/pull/1768	
1772	31/07/2026 07:27:37	fix(mission-core): player HALO occupant gate + landing invuln (r72)	fix/mission-halo-airborne-state-r72-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1772	
1773	31/07/2026 07:29:35	fix(mission-core): player parachute/HALO airborne state integrity (r72)	fix/mission-parachute-airborne-r72-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1773	recut-list
