number	mergeable	isDraft	state	class	title	headRef	url
1249	CONFLICTING	True	OPEN	CONFLICTING	feat(starfort): Star Fortress Phase 1 MVP [flag WFBE_C_STARFORT_ENABLE default 0]	feat/starfort-mvp	https://github.com/rayswaynl/a2waspwarfare/pull/1249
1260	CONFLICTING	True	OPEN	CONFLICTING	fix(teambar): ship slot-1 server heal (stranded on deploy/wave0722e) + assert-leader-first guard + skin-swap server ping	fix/teambar-slot1-ship-20260722	https://github.com/rayswaynl/a2waspwarfare/pull/1260
1262	MERGEABLE	True	OPEN	MERGEABLE	fix(startup): bound silent bootstrap hangs	codex/07221740-1-startup-hang-timeouts-20260722	https://github.com/rayswaynl/a2waspwarfare/pull/1262
1278	MERGEABLE	True	OPEN	MERGEABLE	fix(tools): refresh 11 stale PR8 static-smoke assertions vs master	codex/pr-harness-staleness-refresh-20260722	https://github.com/rayswaynl/a2waspwarfare/pull/1278
1286	CONFLICTING	True	OPEN	CONFLICTING	fix(aicom): exclude corpses and HCs from recovery vetoes	codex/main-07221740-2-realplayersnear-vetoes	https://github.com/rayswaynl/a2waspwarfare/pull/1286
1293	CONFLICTING	True	OPEN	CONFLICTING	fix(telemetry): exclude HCs from player counts	codex/07221740-1-playercount-telemetry-hc	https://github.com/rayswaynl/a2waspwarfare/pull/1293
1342	CONFLICTING	True	OPEN	CONFLICTING	fix(aicom): reject stale HC town delegation reports	codex/aicom-hc-locality-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1342
1343	CONFLICTING	True	OPEN	CONFLICTING	fix(alife): reject stale delegated town AI acknowledgments	codex/07241020-1-garrison-lifecycle-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1343
1344	CONFLICTING	True	OPEN	CONFLICTING	fix(jip): re-register resolved team into wfbe_teams on connect + nil filler-classname guard on disconnect	kimi/07241020-1-jip-session-lifecycle	https://github.com/rayswaynl/a2waspwarfare/pull/1344
1395	CONFLICTING	True	OPEN	CONFLICTING	harden(sec): sidepatrol-convoy-stop requires a matching active-patrol record	claude/u2-harden-convoy-pay-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1395
1399	CONFLICTING	True	OPEN	CONFLICTING	fix(security): bind ATTACK_WAVE_DETAILS activation to requester's own side	claude/u2-harden-attackwave-details-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1399
1401	MERGEABLE	True	OPEN	MERGEABLE	fix(security): re-derive ATTACK_WAVE_INIT discount input from server supply	claude/u2-harden-attackwave-init-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1401
1404	CONFLICTING	True	OPEN	CONFLICTING	harden(economy): server-owned supply-mission payout, watcher cap, UID derivation	claude/u2-harden-supplymission-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1404
1436	CONFLICTING	True	OPEN	CONFLICTING	fix: make side-patrol registry and convoy payout server-authoritative	codex/sidepatrol-registry-authority-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1436
1464	CONFLICTING	True	OPEN	CONFLICTING	feat(aicom): late-game teleport of base-idle AI teams to friendly frontline towns [flags, default 0]	fable/aicom-lategame-teleport-20260725	https://github.com/rayswaynl/a2waspwarfare/pull/1464
1530	MERGEABLE	True	OPEN	MERGEABLE	fix: wait for populated USV town roster	codex/main-07270840-1-usv-coastal-tag-init-race-20260727	https://github.com/rayswaynl/a2waspwarfare/pull/1530
1536	MERGEABLE	True	OPEN	MERGEABLE	fix(earplugs): duck all effect SFX and restore effects volume on toggle-off	claude/earplugs-full-sfx-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1536
1537	MERGEABLE	True	OPEN	MERGEABLE	fix: preserve static-defense crew fallback at group cap	codex/main-07270548-1-manned-defences	https://github.com/rayswaynl/a2waspwarfare/pull/1537
1540	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): chunk founding hot scans	codex/codex-main-07271028-1-teamsfound-chunking	https://github.com/rayswaynl/a2waspwarfare/pull/1540
1543	CONFLICTING	True	OPEN	CONFLICTING	feat(fob): forward operating base v1 - engineer/repair-truck built FOB [flag WFBE_C_STRUCTURES_FOB default 1]	codex/fob-v1-engineer-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1543
1544	MERGEABLE	True	OPEN	MERGEABLE	fix: preserve fortification preview color	codex/main-07280026-2-fortif-unbuildable	https://github.com/rayswaynl/a2waspwarfare/pull/1544
1545	MERGEABLE	True	OPEN	MERGEABLE	fix(usv): refill missing flotilla role	codex/main-07270715-2-usv-aa-role-refill-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1545
1546	CONFLICTING	True	OPEN	CONFLICTING	fix(gc): guard TrashObject remote-delete dispatch against null objects	claude/trash-nullobj-sendtoclient-drop-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1546
1547	MERGEABLE	True	OPEN	MERGEABLE	fix(airdef): bound enemy-air scan slices	codex/guer-airdef-slice-chernarus-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1547
1548	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): map-scale DECAP enemy-town gate	codex/main-07260818-ap1-decap-gate-maprelative-20260728	https://github.com/rayswaynl/a2waspwarfare/pull/1548
1584	MERGEABLE	True	OPEN	MERGEABLE	feat(aicom): add WEST fixed-wing team templates to USMC roster [flag WFBE_C_AICOM_WEST_JETS default 0]	fable/west-jet-templates	https://github.com/rayswaynl/a2waspwarfare/pull/1584
1588	MERGEABLE	True	OPEN	MERGEABLE	feat(aicom): implement AICOM airlift LIFT at the in-loop delivery point [flag WFBE_C_AICOM_AIRLIFT_V2 default 0]	fable/airlift-v2	https://github.com/rayswaynl/a2waspwarfare/pull/1588
1589	MERGEABLE	True	OPEN	MERGEABLE	feat(aicom): HC-safe single-team air quickstart at founding [flag WFBE_C_AICOM_AIR_QUICKSTART default 0]	fable/air-quickstart-v2	https://github.com/rayswaynl/a2waspwarfare/pull/1589
1596	CONFLICTING	True	OPEN	CONFLICTING	fix(hc): seat headless clients on CIV natively - swap HC slots to the lowest playable ids	fable/hc-civ-magnet-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1596
1597	CONFLICTING	True	OPEN	CONFLICTING	fix(townscan): nil-guard wfbe_active*/wfbe_active_air reads killing _dynRange (live RPT spam x169k)	fable/townscan-dynrange-nilguard-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1597
1598	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): seed _eligible/_pick epilogue reads on the server-local founding path (live RPT x47 pairs)	fable/teams-epilogue-nilguard-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1598
1599	MERGEABLE	True	OPEN	MERGEABLE	fix(lint): ignore diagnostic STR labels	codex/string-formatting-bughunt-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1599
1600	CONFLICTING	True	OPEN	CONFLICTING	fix(gc): re-null-check TrashObject after sleep / proximity hold	fix/trash-nullobj-post-sleep-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1600
1602	MERGEABLE	True	OPEN	MERGEABLE	fix(defense): null-guard getPosATL + reman poll	fix/defense-reman-nullguard-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1602
1603	MERGEABLE	True	OPEN	MERGEABLE	fix(aicom): durable CBR research latch across supervisor restart	fix/aicom-cbr-research-restart-durable-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1603
1604	CONFLICTING	True	OPEN	CONFLICTING	fix(aicom): disconnect-while-dead must not delete AI leadership successor	grok/alife-merge-leadership-disconnect-fix-on-master-20260729	https://github.com/rayswaynl/a2waspwarfare/pull/1604
