number	mergeable	isDraft	createdAt	updatedAt	headRef	baseRef	author	title	url
1249	CONFLICTING	True	21/07/2026 20:05:11	27/07/2026 11:06:20	feat/starfort-mvp	master	rayswaynl	feat(starfort): Star Fortress Phase 1 MVP [flag WFBE_C_STARFORT_ENABLE default 0]	https://github.com/rayswaynl/a2waspwarfare/pull/1249
1260	CONFLICTING	True	22/07/2026 16:19:55	27/07/2026 11:06:21	fix/teambar-slot1-ship-20260722	master	rayswaynl	fix(teambar): ship slot-1 server heal (stranded on deploy/wave0722e) + assert-leader-first guard + skin-swap server ping	https://github.com/rayswaynl/a2waspwarfare/pull/1260
1262	MERGEABLE	True	22/07/2026 16:31:11	27/07/2026 11:06:22	codex/07221740-1-startup-hang-timeouts-20260722	master	rayswaynl	fix(startup): bound silent bootstrap hangs	https://github.com/rayswaynl/a2waspwarfare/pull/1262
1278	MERGEABLE	True	22/07/2026 17:43:51	27/07/2026 11:06:23	codex/pr-harness-staleness-refresh-20260722	tools/reusable-pr-test-harness	rayswaynl	fix(tools): refresh 11 stale PR8 static-smoke assertions vs master	https://github.com/rayswaynl/a2waspwarfare/pull/1278
1286	CONFLICTING	True	22/07/2026 18:06:17	27/07/2026 11:06:24	codex/main-07221740-2-realplayersnear-vetoes	master	rayswaynl	fix(aicom): exclude corpses and HCs from recovery vetoes	https://github.com/rayswaynl/a2waspwarfare/pull/1286
1293	CONFLICTING	True	22/07/2026 18:39:26	27/07/2026 11:06:25	codex/07221740-1-playercount-telemetry-hc	master	rayswaynl	fix(telemetry): exclude HCs from player counts	https://github.com/rayswaynl/a2waspwarfare/pull/1293
1342	CONFLICTING	True	24/07/2026 23:03:13	27/07/2026 11:06:26	codex/aicom-hc-locality-20260725	master	rayswaynl	fix(aicom): reject stale HC town delegation reports	https://github.com/rayswaynl/a2waspwarfare/pull/1342
1343	CONFLICTING	True	24/07/2026 23:05:37	27/07/2026 11:06:27	codex/07241020-1-garrison-lifecycle-20260725	master	rayswaynl	fix(alife): reject stale delegated town AI acknowledgments	https://github.com/rayswaynl/a2waspwarfare/pull/1343
1344	CONFLICTING	True	24/07/2026 23:30:17	27/07/2026 11:06:28	kimi/07241020-1-jip-session-lifecycle	master	rayswaynl	fix(jip): re-register resolved team into wfbe_teams on connect + nil filler-classname guard on disconnect	https://github.com/rayswaynl/a2waspwarfare/pull/1344
1395	CONFLICTING	True	25/07/2026 10:21:49	27/07/2026 11:06:32	claude/u2-harden-convoy-pay-20260725	master	rayswaynl	harden(sec): sidepatrol-convoy-stop requires a matching active-patrol record	https://github.com/rayswaynl/a2waspwarfare/pull/1395
